代码,名称,最新价,市盈率(TTM),市净率
01788,国泰君安国际,0.79,23.71,0.49
06655,华新水泥,8.95,4.22,0.62
00152,深圳国际,8.2,6.15,0.56
02359,药明康德,107.2,32.2,6.4
00670,中国东方航空股份,3.3,-2.07,2.85
03888,金山软件,28.9,-5.54,1.84
00881,中升控股,45.45,11.59,2.25
01083,港华智慧能源,4.2,9.02,0.61
02328,中国财险,7.6,5.81,0.7
03311,中国建筑国际,9.3,6.23,0.83
01911,华兴资本控股,10.2,20.48,0.74
00016,新鸿基地产,111.6,12.65,0.54
01349,复旦张江,3.48,24.63,1.46
06881,中国银河,4.37,4.23,0.46
06069,盛业,6.14,12.64,1.36
09992,泡泡玛特,26.4,37.62,4.38
01330,绿色动力环保,2.64,5.7,0.48
00751,创维集团,5.28,8.89,0.71
09923,移卡,26.5,52.36,3.39
00341,大家乐集团,14.14,169.9,2.99
02607,上海医药,14.16,8.73,0.72
01112,H&H国际控股,16.04,18.36,1.45
01880,中国中免,254.0,81.03,9.87
00013,和黄医药,27.6,-11.92,3.8
03969,中国通号,2.77,7.65,0.64
00658,中国高速传动,3.73,10.15,0.49
02319,蒙牛乳业,37.5,21.76,3.26
01288,农业银行,2.84,3.57,0.41
01121,金阳新能源,8.53,-136.61,18.76
00753,中国国航,7.61,-3.24,3.17
02616,基石药业-B,4.78,-3.25,5.15
02233,西部水泥,0.98,3.84,0.4
06198,青岛港,3.95,5.37,0.64
03996,中国能源建设,0.99,5.1,0.42
03988,中国银行,2.99,3.52,0.4
00027,银河娱乐,54.9,-508.84,3.68
01381,粤丰环保,4.1,6.76,1.09
00939,建设银行,5.13,3.65,0.44
00291,华润啤酒,61.7,41.77,6.26
01755,新城悦服务,8.26,13.24,2.6
02009,金隅集团,1.04,3.94,0.21
03692,翰森制药,16.8,31.28,4.03
01398,工商银行,4.22,3.75,0.45
02866,中远海发,1.07,3.12,0.45
02388,中银香港,27.2,11.39,0.97
01658,邮储银行,5.44,5.32,0.67
00003,香港中华煤气,7.68,34.68,2.25
06110,滔搏,7.73,19.47,4.25
00576,浙江沪杭甬,6.77,7.13,0.93
01052,越秀交通基建,4.53,5.01,0.58
03396,联想控股,9.26,5.84,0.29
06196,郑州银行,1.17,2.65,0.2
01928,金沙中国有限公司,30.0,-21.68,237.98
03958,东方证券,4.87,12.26,0.52
00895,东江环保,2.47,-21.37,0.44
06818,中国光大银行,2.52,2.74,0.31
01375,中州证券,1.27,44.9,0.39
01196,伟禄集团,8.89,101.56,3.31
03319,雅生活服务,10.24,5.59,1.07
00270,粤海投资,8.96,12.55,1.37
00861,神州控股,3.87,9.08,0.66
00185,正商实业,1.29,6.01,0.26
03877,中国船舶租赁,1.3,5.05,0.73
00303,VTECH HOLDINGS,52.35,9.48,2.88
00014,希慎兴业,26.25,28.77,0.37
01798,大唐新能源,2.67,6.22,1.2
01513,丽珠医药,26.7,12.35,1.68
06639,瑞尔集团,9.5,-15.56,2.97
00179,德昌电机控股,10.98,11.91,0.57
00038,第一拖拉机股份,4.15,6.23,0.72
03633,中裕能源,5.6,20.88,1.78
03618,重庆农村商业银行,2.8,2.86,0.27
01883,中信国际电讯,2.8,9.27,1.03
00696,中国民航信息网络,16.88,58.74,2.22
06066,中信建投证券,8.45,6.29,0.87
02238,广汽集团,5.65,5.21,0.53
00123,越秀地产,11.32,10.01,0.64
02869,绿城服务,5.8,25.03,2.32
02016,浙商银行,2.9,4.1,0.41
00345,VITASOY INT'L,17.44,-375.35,5.86
01988,民生银行,2.93,3.55,0.23
01038,长江基建集团,44.0,12.44,0.94
00410,SOHO中国,1.51,48.07,0.18
06606,诺辉健康-B,30.55,-43.41,5.41
01952,云顶新耀-B,23.3,-4.81,1.25
01057,浙江世宝,1.61,-592.26,0.83
03328,交通银行,4.87,3.59,0.4
00001,长和,49.7,5.55,0.37
00002,中电控股,58.0,-149.68,1.37
06821,凯莱英,132.6,14.33,2.95
01876,百威亚太,25.0,41.19,4.03
01193,华润燃气,33.45,12.5,1.94
00308,香港中旅,1.72,-81.88,0.57
01585,雅迪控股,17.34,27.05,8.22
01368,特步国际,10.54,22.17,2.87
00011,恒生银行,128.2,24.76,1.44
01055,中国南方航空股份,5.6,-3.89,1.78
01951,锦欣生殖,7.47,45.93,2.0
02162,康诺亚-B,66.0,-62.32,4.34
00107,四川成渝高速公路,1.91,3.35,0.3
06989,卓越商企服务,3.85,7.3,1.12
00743,亚洲水泥(中国),3.85,7.08,0.32
01099,国药控股,19.32,6.89,0.83
00302,中手游,1.96,23.63,0.8
00012,恒基地产,29.65,12.56,0.44
02171,科济药业-B,19.86,-13.38,3.49
01113,长实集团,49.75,6.95,0.48
09939,开拓药业-B,10.04,-3.71,3.24
00631,三一国际,8.18,15.92,2.41
00694,北京首都机场股份,6.18,-9.03,1.29
06178,光大证券,6.22,7.14,0.47
01347,华虹半导体,31.15,12.22,1.85
00293,国泰航空,8.38,-15.14,0.79
01199,中远海运港口,6.52,8.04,0.53
00688,中国海外发展,21.75,5.64,0.58
00005,汇丰控股,56.9,12.07,0.81
06127,昭衍新药,46.1,23.72,2.91
06088,FIT HON TENG,2.43,10.57,0.95
00960,龙湖集团,25.0,5.67,1.1
03709,赢家时尚,10.1,11.16,1.55
02500,启明医疗-B,15.6,-12.78,1.33
03759,康龙化成,68.0,46.3,7.18
01382,互太纺织,2.8,8.33,1.24
06808,高鑫零售,3.06,-28.54,1.12
00826,天工国际,3.26,11.61,1.16
00806,惠理集团,3.38,-34.19,1.33
00867,康哲药业,13.92,9.15,2.11
02314,理文造纸,3.54,7.69,0.51
02380,中国电力,3.55,-31.1,1.15
09868,小鹏汽车-W,36.3,-7.02,1.44
03360,远东宏信,7.28,4.65,0.64
03799,达利食品,3.66,12.54,2.32
01070,TCL电子,3.71,23.67,0.54
02202,万科企业,16.48,7.57,0.72
02688,新奥能源,124.1,16.92,3.24
02192,医脉通,10.04,128.47,1.48
02313,申洲国际,101.8,37.26,4.4
02015,理想汽车-W,85.15,-81.34,3.66
01579,颐海国际,28.9,38.02,6.74
01299,友邦保险,87.6,36.27,3.19
00322,康师傅控股,13.02,20.77,4.08
02218,安德利果汁,6.58,8.73,0.9
03990,美的置业,13.42,4.98,0.63
01475,日清食品,6.73,22.68,1.87
02689,玖龙纸业,7.31,8.96,0.62
00101,恒隆地产,15.0,18.85,0.49
00066,港铁公司,42.45,22.67,1.48
02273,固生堂,48.0,-92.92,5.95
02378,保诚,126.4,21.37,2.75
06993,蓝月亮集团,5.25,33.84,2.75
06988,乐享集团,1.6,17.84,1.32
06169,宇华教育,0.0,6.24,0.62
03606,福耀玻璃,37.5,19.89,3.11
02772,中梁控股,0.77,1.34,0.18
02285,泉峰控股,37.8,20.18,2.84
02197,三叶草生物-B,2.7,-0.51,16.9
02099,中国黄金国际,28.8,6.21,0.8
01929,周大福,17.06,26.38,5.38
01873,维亚生物,1.87,27.8,0.79
01812,晨鸣纸业,2.68,58.36,0.4
01675,亚信科技,13.98,15.92,1.82
01635,大众公用,1.24,-49.83,0.39
01548,金斯瑞生物科技,27.7,-19.24,9.86
01477,欧康维视生物-B,10.14,-15.59,2.02
01387,中国地利,0.0,-4.18,0.4
01357,美图公司,1.94,-40.48,2.2
01282,宝新金融,0.4,-1.06,0.12
01234,中国利郎,4.1,9.25,1.11
01119,创梦天地,4.09,-17.17,1.26
00991,大唐发电,1.29,-2.14,0.73
00934,中石化冠德,2.8,9.5,0.46
00884,旭辉控股集团,1.17,2.2,0.25
00754,合生创展集团,9.15,2.5,0.27
00697,首程控股,1.9,17.38,1.3
00665,海通国际,0.91,-1.81,0.24
00522,ASMPT,64.25,8.12,1.72
00460,四环医药,1.01,-52.15,1.11
00371,北控水务集团,2.08,8.46,0.58
00327,百富环球,7.22,6.15,1.15
00297,中化化肥,1.01,5.05,0.64
00272,瑞安房地产,1.05,7.18,0.18
00215,和记电讯香港,1.32,-51.72,0.61
00086,新鸿基公司,3.32,-23.28,0.27
00059,天誉置业,0.06,-0.21,0.17
01211,比亚迪股份,226.4,60.13,5.81
01209,华润万象生活,44.5,44.63,6.09
00168,青岛啤酒股份,77.95,25.23,3.69
00656,复星国际,7.55,6.04,0.42
03808,中国重汽,13.22,15.75,0.88
01515,华润医疗,6.05,15.97,1.03
01316,耐世特,5.65,74.79,0.96
03331,维达国际,23.75,21.83,2.28
09997,康基医疗,9.4,23.61,2.95
01456,国联证券,4.27,12.49,0.66
01717,澳优,4.01,9.31,1.03
01044,恒安国际,39.7,14.05,2.01
00553,南京熊猫电子股份,3.84,74.21,0.9
02160,心通医疗-B,3.37,-29.48,2.32
01776,广发证券,13.2,12.22,0.85
06969,思摩尔国际,12.12,20.69,3.2
01167,加科思-B,5.82,-13.13,2.53
06099,招商证券,8.71,7.27,0.69
00853,微创医疗,25.55,-15.48,4.82
01478,丘钛科技,5.02,11.09,1.06
09863,零跑汽车,27.0,-6.17,5.38
03898,时代电气,42.9,23.11,1.64
02279,雍禾医疗,10.0,46.29,2.49
06806,申万宏源,1.62,5.85,0.38
03868,信义能源,3.03,18.26,1.82
09959,联易融科技-W,4.45,102.82,0.88
09633,农夫山泉,42.95,53.25,20.48
00590,六福集团,27.0,11.35,1.35
01691,JS环球生活,10.7,12.19,2.71
00006,电能实业,43.95,14.41,1.08
01359,中国信达,1.18,3.9,0.25
01789,爱康医疗,9.01,80.22,4.02
06049,保利物业,57.75,27.8,3.79
02400,心动公司,24.0,-10.66,4.92
03347,泰格医药,109.1,31.85,4.49
00564,郑煤机,8.11,5.6,0.76
02611,国泰君安,9.79,6.68,0.57
03998,波司登,4.41,20.15,3.77
09969,诺诚健华-B,13.84,-22.38,2.85
02038,富智康集团,0.84,13.96,0.44
00775,长江生命科技,0.8,60.29,1.79
00151,中国旺旺,5.43,15.74,4.26
02157,乐普生物-B,6.98,-11.75,8.21
