,序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
57,58,03969,中国通号,2.85,0.03,1.06,2.85,2.85,2.85,2.82,0,0.0
58,59,03678,弘业期货,1.91,0.02,1.06,1.91,1.91,1.91,1.89,0,0.0
59,60,03996,中国能源建设,0.96,0.01,1.05,0.96,0.96,0.96,0.95,0,0.0
60,61,09858,优然牧业,1.95,0.02,1.04,1.95,1.95,1.95,1.93,0,0.0
61,62,00200,新濠国际发展,8.79,0.09,1.03,8.79,8.79,8.79,8.7,0,0.0
62,63,06610,飞天云动,4.15,0.04,0.97,4.15,4.15,4.15,4.11,0,0.0
63,64,09995,荣昌生物-B,48.5,0.45,0.94,48.5,48.5,48.5,48.05,0,0.0
64,65,02197,三叶草生物-B,2.17,0.02,0.93,2.17,2.17,2.17,2.15,0,0.0
65,66,01579,颐海国际,21.8,0.2,0.93,21.8,21.8,21.8,21.6,0,0.0
66,67,00772,阅文集团,33.35,0.3,0.91,33.35,33.35,33.35,33.05,0,0.0
67,68,02314,理文造纸,3.37,0.03,0.9,3.37,3.37,3.37,3.34,0,0.0
68,69,00914,海螺水泥,28.35,0.25,0.89,28.35,28.35,28.35,28.1,0,0.0
69,70,06989,卓越商企服务,3.49,0.03,0.87,3.49,3.49,3.49,3.46,0,0.0
70,71,06988,乐享集团,1.17,0.01,0.86,1.17,1.17,1.17,1.16,0,0.0
71,72,00688,中国海外发展,19.26,0.16,0.84,19.26,19.26,19.26,19.1,170000,3247000.0
72,73,01088,中国神华,24.35,0.2,0.83,24.35,24.35,24.35,24.15,56500,1364475.0
73,74,06655,华新水泥,8.71,0.07,0.81,8.71,8.71,8.71,8.64,0,0.0
74,75,01339,中国人民保险集团,2.51,0.02,0.8,2.51,2.51,2.51,2.49,0,0.0
75,76,03877,中国船舶租赁,1.31,0.01,0.77,1.31,1.31,1.31,1.3,0,0.0
76,77,00023,东亚银行,10.48,0.08,0.77,10.48,10.48,10.48,10.4,0,0.0
77,78,01951,锦欣生殖,5.3,0.04,0.76,5.3,5.3,5.3,5.26,0,0.0
78,79,06030,中信证券,16.16,0.12,0.75,16.16,16.16,16.16,16.04,0,0.0
79,80,00525,广深铁路股份,1.39,0.01,0.72,1.39,1.39,1.39,1.38,0,0.0
80,81,01357,美图公司,2.81,0.02,0.72,2.81,2.81,2.81,2.79,0,0.0
81,82,01622,力高集团,1.42,0.01,0.71,1.42,1.42,1.42,1.41,0,0.0
82,83,00392,北京控股,28.5,0.2,0.71,28.5,28.5,28.5,28.3,0,0.0
83,84,00694,北京首都机场股份,6.08,0.04,0.66,6.08,6.08,6.08,6.04,322000,1926204.0
84,85,06806,申万宏源,1.53,0.01,0.66,1.53,1.53,1.53,1.52,0,0.0
85,86,01873,维亚生物,1.57,0.01,0.64,1.57,1.57,1.57,1.56,0,0.0
86,87,02618,京东物流,12.8,0.08,0.63,12.8,12.8,12.8,12.72,0,0.0
87,88,03799,达利食品,3.23,0.02,0.62,3.23,3.23,3.23,3.21,0,0.0
88,89,00548,深圳高速公路股份,7.24,0.04,0.56,7.24,7.24,7.24,7.2,0,0.0
89,90,01816,中广核电力,1.83,0.01,0.55,1.83,1.83,1.83,1.82,0,0.0
90,91,00119,保利置业集团,1.84,0.01,0.55,1.84,1.84,1.84,1.83,0,0.0
91,92,06878,鼎丰集团汽车,0.188,0.001,0.53,0.188,0.188,0.188,0.187,0,0.0
92,93,00981,中芯国际,15.78,0.08,0.51,15.78,15.78,15.78,15.7,319148,5010623.0
93,94,02202,万科企业,12.44,0.06,0.48,12.44,12.44,12.44,12.38,0,0.0
94,95,00728,中国电信,4.23,0.02,0.48,4.23,4.23,4.23,4.21,387,1629.0
95,96,03998,波司登,4.44,0.02,0.45,4.44,4.44,4.44,4.42,840000,3717252.0
96,97,02013,微盟集团,4.58,0.02,0.44,4.58,4.58,4.58,4.56,0,0.0
97,98,03898,时代电气,35.85,0.15,0.42,35.85,35.85,35.85,35.7,0,0.0
98,99,03323,中国建材,7.21,0.03,0.42,7.21,7.21,7.21,7.18,0,0.0
99,100,01415,高伟电子,15.2,0.06,0.4,15.2,15.2,15.2,15.14,0,0.0
100,101,01798,大唐新能源,2.66,0.01,0.38,2.66,2.66,2.66,2.65,0,0.0
101,102,02611,国泰君安,9.19,0.03,0.33,9.19,9.19,9.19,9.16,0,0.0
102,103,00175,吉利汽车,9.5,0.03,0.32,9.5,9.5,9.5,9.47,533000,5047510.0
103,104,09868,小鹏汽车-W,32.5,0.1,0.31,32.5,32.5,32.5,32.4,9818700,318125888.0
104,105,00489,东风集团股份,3.67,0.01,0.27,3.67,3.67,3.67,3.66,0,0.0
105,106,06869,长飞光纤光缆,15.02,0.04,0.27,15.02,15.02,15.02,14.98,0,0.0
106,107,06881,中国银河,3.81,0.01,0.26,3.81,3.81,3.81,3.8,0,0.0
107,108,03908,中金公司,15.36,0.04,0.26,15.36,15.36,15.36,15.32,0,0.0
108,109,00291,华润啤酒,58.1,0.15,0.26,58.1,58.1,58.1,57.95,223404,12946261.0
109,110,00017,新世界发展,21.6,0.05,0.23,21.6,21.6,21.6,21.55,242000,5215100.0
110,111,00857,中国石油股份,4.33,0.01,0.23,4.33,4.33,4.33,4.32,1862000,8043840.0
111,112,00386,中国石油化工股份,4.54,0.01,0.22,4.54,4.54,4.54,4.53,0,0.0
112,113,01876,百威亚太,23.2,0.05,0.22,23.2,23.2,23.2,23.15,175000,4051250.0
113,114,01336,新华保险,18.88,0.04,0.21,18.88,18.88,18.88,18.84,0,0.0
114,115,03888,金山软件,26.35,0.05,0.19,26.35,26.35,26.35,26.3,0,0.0
115,116,00762,中国联通,5.72,0.01,0.18,5.72,5.72,5.72,5.71,0,0.0
116,117,00719,山东新华制药股份,6.72,0.01,0.15,6.72,6.72,6.72,6.71,0,0.0
117,118,02208,金风科技,6.93,0.01,0.14,6.93,6.93,6.93,6.92,917400,6440148.0
118,119,09996,沛嘉医疗-B,9.8,0.0,0.0,9.8,9.8,9.8,9.8,0,0.0
119,120,09993,金辉控股,4.06,0.0,0.0,4.06,4.06,4.06,4.06,0,0.0
120,121,09992,泡泡玛特,19.0,0.0,0.0,19.0,19.0,19.0,19.0,0,0.0
121,122,09989,海普瑞,5.24,0.0,0.0,5.24,5.24,5.24,5.24,0,0.0
122,123,09987,百胜中国,452.2,0.0,0.0,452.2,452.2,452.2,452.2,0,0.0
123,124,09985,卫龙,10.08,0.0,0.0,10.08,10.08,10.08,10.08,0,0.0
124,125,09983,建业新生活,2.77,0.0,0.0,2.77,2.77,2.77,2.77,0,0.0
125,126,09979,绿城管理控股,6.38,0.0,0.0,6.38,6.38,6.38,6.38,0,0.0
126,127,09969,诺诚健华-B,8.43,0.0,0.0,8.43,8.43,8.43,8.43,0,0.0
127,128,09966,康宁杰瑞制药-B,13.2,0.0,0.0,13.2,13.2,13.2,13.2,0,0.0
128,129,09959,联易融科技-W,3.32,0.0,0.0,3.32,3.32,3.32,3.32,0,0.0
129,130,09956,安能物流,5.39,0.0,0.0,5.39,5.39,5.39,5.39,0,0.0
130,131,09955,智云健康,6.18,0.0,0.0,6.18,6.18,6.18,6.18,1200000,7080000.0
131,132,09939,开拓药业-B,7.84,0.0,0.0,7.84,7.84,7.84,7.84,0,0.0
132,133,09926,康方生物-B,39.3,0.0,0.0,39.3,39.3,39.3,39.3,0,0.0
133,134,09923,移卡,22.55,0.0,0.0,22.55,22.55,22.55,22.55,0,0.0
134,135,09922,九毛九,17.4,0.0,0.0,17.4,17.4,17.4,17.4,0,0.0
135,136,09909,宝龙商业,5.54,0.0,0.0,5.54,5.54,5.54,5.54,0,0.0
136,137,09886,叮当健康,7.0,0.0,0.0,7.0,7.0,7.0,7.0,0,0.0
137,138,09878,汇通达网络,32.8,0.0,0.0,32.8,32.8,32.8,32.8,0,0.0
138,139,09877,健世科技-B,0.0,0.0,0.0,0.0,0.0,0.0,43.45,0,0.0
139,140,09869,海伦司,15.46,0.0,0.0,15.46,15.46,15.46,15.46,0,0.0
140,141,09863,零跑汽车,26.7,0.0,0.0,26.7,26.7,26.7,26.7,0,0.0
141,142,09857,柠萌影视,17.5,0.0,0.0,17.5,17.5,17.5,17.5,0,0.0
142,143,09668,渤海银行,1.5,0.0,0.0,1.5,1.5,1.5,1.5,0,0.0
143,144,06968,港龙中国地产,0.54,0.0,0.0,0.54,0.54,0.54,0.54,0,0.0
144,145,06955,博安生物-B,14.78,0.0,0.0,14.78,14.78,14.78,14.78,0,0.0
145,146,06929,业聚医疗,11.96,0.0,0.0,11.96,11.96,11.96,11.96,0,0.0
146,147,06865,福莱特玻璃,20.85,0.0,0.0,20.85,20.85,20.85,20.85,32000,679744.0
147,148,06862,海底捞,21.5,0.0,0.0,21.5,21.5,21.5,21.5,173000,3719500.0
148,149,06837,海通证券,4.92,0.0,0.0,4.92,4.92,4.92,4.92,0,0.0
149,150,06826,昊海生物科技,39.1,0.0,0.0,39.1,39.1,39.1,39.1,0,0.0
150,151,06821,凯莱英,99.25,0.0,0.0,99.25,99.25,99.25,99.25,0,0.0
151,152,06808,高鑫零售,2.89,0.0,0.0,2.89,2.89,2.89,2.89,0,0.0
152,153,06699,时代天使,107.1,0.0,0.0,107.1,107.1,107.1,107.1,0,0.0
153,154,06698,星空华文,100.7,0.0,0.0,100.7,100.7,100.7,100.7,0,0.0
154,155,06690,海尔智家,25.2,0.0,0.0,25.2,25.2,25.2,25.2,872600,21989520.0
155,156,06689,洪九果品,27.0,0.0,0.0,27.0,27.0,27.0,27.0,0,0.0
156,157,06680,金力永磁,23.2,0.0,0.0,23.2,23.2,23.2,23.2,0,0.0
157,158,06639,瑞尔集团,12.76,0.0,0.0,12.76,12.76,12.76,12.76,0,0.0
158,159,06616,环球新材国际,4.79,0.0,0.0,4.79,4.79,4.79,4.79,0,0.0
159,160,06600,赛生药业,10.28,0.0,0.0,10.28,10.28,10.28,10.28,0,0.0
160,161,06178,光大证券,5.27,0.0,0.0,5.27,5.27,5.27,5.27,0,0.0
161,162,06169,宇华教育,1.24,0.0,0.0,1.24,1.24,1.24,1.24,0,0.0
162,163,06127,昭衍新药,34.0,0.0,0.0,34.0,34.0,34.0,34.0,0,0.0
163,164,06110,滔搏,6.56,0.0,0.0,6.56,6.56,6.56,6.56,243000,1591650.0
164,165,06100,同道猎聘,11.32,0.0,0.0,11.32,11.32,11.32,11.32,0,0.0
165,166,06088,FIT HON TENG,2.1,0.0,0.0,2.1,2.1,2.1,2.1,0,0.0
166,167,06078,海吉亚医疗,56.65,0.0,0.0,56.65,56.65,56.65,56.65,113400,6491949.0
167,168,06069,盛业,5.5,0.0,0.0,5.5,5.5,5.5,5.5,0,0.0
168,169,06049,保利物业,43.8,0.0,0.0,43.8,43.8,43.8,43.8,0,0.0
169,170,03993,洛阳钼业,4.44,0.0,0.0,4.44,4.44,4.44,4.44,0,0.0
170,171,03990,美的置业,9.61,0.0,0.0,9.61,9.61,9.61,9.61,0,0.0
171,172,03958,东方证券,4.15,0.0,0.0,4.15,4.15,4.15,4.15,0,0.0
172,173,03933,联邦制药,4.57,0.0,0.0,4.57,4.57,4.57,4.57,0,0.0
173,174,03913,合景悠活,1.41,0.0,0.0,1.41,1.41,1.41,1.41,0,0.0
174,175,03900,绿城中国,9.98,0.0,0.0,9.98,9.98,9.98,9.98,0,0.0
175,176,03899,中集安瑞科,8.08,0.0,0.0,8.08,8.08,8.08,8.08,0,0.0
176,177,03868,信义能源,2.37,0.0,0.0,2.37,2.37,2.37,2.37,0,0.0
177,178,03866,青岛银行,2.62,0.0,0.0,2.62,2.62,2.62,2.62,0,0.0
178,179,03808,中国重汽,12.28,0.0,0.0,12.28,12.28,12.28,12.28,0,0.0
179,180,03800,协鑫科技,2.01,0.0,0.0,2.01,2.01,2.01,2.01,0,0.0
180,181,03738,阜博集团,3.76,0.0,0.0,3.76,3.76,3.76,3.76,0,0.0
181,182,03709,赢家时尚,10.62,0.0,0.0,10.62,10.62,10.62,10.62,0,0.0
182,183,03669,永达汽车,5.4,0.0,0.0,5.4,5.4,5.4,5.4,0,0.0
183,184,03633,中裕能源,5.55,0.0,0.0,5.55,5.55,5.55,5.55,0,0.0
184,185,03618,重庆农村商业银行,2.72,0.0,0.0,2.72,2.72,2.72,2.72,0,0.0
185,186,03613,同仁堂国药,12.24,0.0,0.0,12.24,12.24,12.24,12.24,0,0.0
186,187,03606,福耀玻璃,33.55,0.0,0.0,33.55,33.55,33.55,33.55,0,0.0
187,188,03396,联想控股,8.41,0.0,0.0,8.41,8.41,8.41,8.41,0,0.0
188,189,03383,雅居乐集团,2.06,0.0,0.0,2.06,2.06,2.06,2.06,0,0.0
189,190,03377,远洋集团,1.08,0.0,0.0,1.08,1.08,1.08,1.08,0,0.0
190,191,03369,秦港股份,1.16,0.0,0.0,1.16,1.16,1.16,1.16,0,0.0
191,192,03360,远东宏信,6.72,0.0,0.0,6.72,6.72,6.72,6.72,0,0.0
192,193,03339,中国龙工,1.4,0.0,0.0,1.4,1.4,1.4,1.4,0,0.0
193,194,03320,华润医药,6.73,0.0,0.0,6.73,6.73,6.73,6.73,0,0.0
194,195,03319,雅生活服务,7.63,0.0,0.0,7.63,7.63,7.63,7.63,0,0.0
195,196,03311,中国建筑国际,9.16,0.0,0.0,9.16,9.16,9.16,9.16,0,0.0
196,197,03309,希玛眼科,4.41,0.0,0.0,4.41,4.41,4.41,4.41,0,0.0
197,198,02880,辽港股份,0.72,0.0,0.0,0.72,0.72,0.72,0.72,0,0.0
198,199,02869,绿城服务,4.92,0.0,0.0,4.92,4.92,4.92,4.92,0,0.0
199,200,02866,中远海发,1.05,0.0,0.0,1.05,1.05,1.05,1.05,0,0.0
200,201,02858,易鑫集团,1.11,0.0,0.0,1.11,1.11,1.11,1.11,0,0.0
201,202,02777,富力地产,1.88,0.0,0.0,1.88,1.88,1.88,1.88,0,0.0
202,203,02772,中梁控股,0.65,0.0,0.0,0.65,0.65,0.65,0.65,0,0.0
203,204,02768,佳源国际控股,0.188,0.0,0.0,0.188,0.188,0.188,0.188,0,0.0
204,205,02727,上海电气,1.82,0.0,0.0,1.82,1.82,1.82,1.82,0,0.0
205,206,02678,天虹国际集团,6.45,0.0,0.0,6.45,6.45,6.45,6.45,0,0.0
206,207,02669,中海物业,8.77,0.0,0.0,8.77,8.77,8.77,8.77,0,0.0
207,208,02666,环球医疗,4.59,0.0,0.0,4.59,4.59,4.59,4.59,0,0.0
208,209,02600,中国铝业,3.94,0.0,0.0,3.94,3.94,3.94,3.94,3320000,13147864.0
209,210,02500,启明医疗-B,12.06,0.0,0.0,12.06,12.06,12.06,12.06,0,0.0
210,211,02407,高视医疗,49.8,0.0,0.0,49.8,49.8,49.8,49.8,0,0.0
211,212,02402,亿华通,60.0,0.0,0.0,60.0,60.0,60.0,60.0,0,0.0
212,213,02400,心动公司,22.7,0.0,0.0,22.7,22.7,22.7,22.7,0,0.0
213,214,02388,中银香港,27.1,0.0,0.0,27.1,27.1,27.1,27.1,308000,8346800.0
214,215,02382,舜宇光学科技,86.65,0.0,0.0,86.65,86.65,86.65,86.65,255000,22095750.0
215,216,02380,中国电力,3.23,0.0,0.0,3.23,3.23,3.23,3.23,0,0.0
216,217,02359,药明康德,80.35,0.0,0.0,80.35,80.35,80.35,80.35,78400,6334994.0
217,218,02356,大新银行集团,6.28,0.0,0.0,6.28,6.28,6.28,6.28,0,0.0
218,219,02338,潍柴动力,11.12,0.0,0.0,11.12,11.12,11.12,11.12,0,0.0
219,220,02291,心泰医疗,27.9,0.0,0.0,27.9,27.9,27.9,27.9,0,0.0
220,221,02282,美高梅中国,8.73,0.0,0.0,8.73,8.73,8.73,8.73,1222000,10582886.0
221,222,02279,雍禾医疗,8.35,0.0,0.0,8.35,8.35,8.35,8.35,0,0.0
222,223,02273,固生堂,55.5,0.0,0.0,55.5,55.5,55.5,55.5,222400,12505329.0
223,224,02257,圣诺医药-B,56.0,0.0,0.0,56.0,56.0,56.0,56.0,0,0.0
224,225,02255,海昌海洋公园,1.73,0.0,0.0,1.73,1.73,1.73,1.73,0,0.0
225,226,02252,微创机器人-B,27.2,0.0,0.0,27.2,27.2,27.2,27.2,0,0.0
226,227,02238,广汽集团,4.9,0.0,0.0,4.9,4.9,4.9,4.9,0,0.0
227,228,02218,安德利果汁,6.39,0.0,0.0,6.39,6.39,6.39,6.39,0,0.0
228,229,02192,医脉通,11.06,0.0,0.0,11.06,11.06,11.06,11.06,0,0.0
229,230,02186,绿叶制药,3.42,0.0,0.0,3.42,3.42,3.42,3.42,0,0.0
230,231,02172,微创脑科学,14.9,0.0,0.0,14.9,14.9,14.9,14.9,0,0.0
231,232,02171,科济药业-B,14.3,0.0,0.0,14.3,14.3,14.3,14.3,0,0.0
232,233,02160,心通医疗-B,2.64,0.0,0.0,2.64,2.64,2.64,2.64,7000,18480.0
233,234,02157,乐普生物-B,5.59,0.0,0.0,5.59,5.59,5.59,5.59,0,0.0
234,235,02150,奈雪的茶,7.75,0.0,0.0,7.75,7.75,7.75,7.75,0,0.0
235,236,02145,上美股份,28.7,0.0,0.0,28.7,28.7,28.7,28.7,0,0.0
236,237,02128,中国联塑,7.44,0.0,0.0,7.44,7.44,7.44,7.44,0,0.0
237,238,02099,中国黄金国际,24.55,0.0,0.0,24.55,24.55,24.55,24.55,23,560.0
238,239,02096,先声药业,9.32,0.0,0.0,9.32,9.32,9.32,9.32,0,0.0
239,240,02068,中铝国际,1.78,0.0,0.0,1.78,1.78,1.78,1.78,0,0.0
240,241,02038,富智康集团,0.82,0.0,0.0,0.82,0.82,0.82,0.82,0,0.0
241,242,02019,德信中国,0.63,0.0,0.0,0.63,0.63,0.63,0.63,0,0.0
242,243,02018,瑞声科技,17.06,0.0,0.0,17.06,17.06,17.06,17.06,0,0.0
243,244,02016,浙商银行,2.67,0.0,0.0,2.67,2.67,2.67,2.67,0,0.0
244,245,02009,金隅集团,1.06,0.0,0.0,1.06,1.06,1.06,1.06,0,0.0
245,246,02005,石四药集团,4.37,0.0,0.0,4.37,4.37,4.37,4.37,0,0.0
246,247,01999,敏华控股,7.5,0.0,0.0,7.5,7.5,7.5,7.5,1519200,11349639.0
247,248,01997,九龙仓置业,42.25,0.0,0.0,42.25,42.25,42.25,42.25,1059000,45001771.0
248,249,01996,弘阳地产,0.385,0.0,0.0,0.385,0.385,0.385,0.385,0,0.0
249,250,01995,旭辉永升服务,2.87,0.0,0.0,2.87,2.87,2.87,2.87,0,0.0
250,251,01992,复星旅游文化,9.68,0.0,0.0,9.68,9.68,9.68,9.68,0,0.0
251,252,01972,太古地产,20.8,0.0,0.0,20.8,20.8,20.8,20.8,363400,7557375.0
252,253,01966,中骏集团控股,0.83,0.0,0.0,0.83,0.83,0.83,0.83,0,0.0
253,254,01963,重庆银行,4.14,0.0,0.0,4.14,4.14,4.14,4.14,0,0.0
254,255,01958,北京汽车,2.09,0.0,0.0,2.09,2.09,2.09,2.09,0,0.0
255,256,01929,周大福,13.72,0.0,0.0,13.72,13.72,13.72,13.72,176200,2417464.0
256,257,01911,华兴资本控股,6.95,0.0,0.0,6.95,6.95,6.95,6.95,0,0.0
257,258,01908,建发国际集团,24.3,0.0,0.0,24.3,24.3,24.3,24.3,0,0.0
258,259,01907,中国旭阳集团,3.64,0.0,0.0,3.64,3.64,3.64,3.64,0,0.0
259,260,01890,中国科培,2.87,0.0,0.0,2.87,2.87,2.87,2.87,0,0.0
260,261,01888,建滔积层板,10.16,0.0,0.0,10.16,10.16,10.16,10.16,0,0.0
261,262,01883,中信国际电讯,2.87,0.0,0.0,2.87,2.87,2.87,2.87,764000,2195812.0
262,263,01882,海天国际,20.45,0.0,0.0,20.45,20.45,20.45,20.45,52000,1062786.0
263,264,01877,君实生物,28.7,0.0,0.0,28.7,28.7,28.7,28.7,200,5740.0
264,265,01860,汇量科技,4.04,0.0,0.0,4.04,4.04,4.04,4.04,0,0.0
265,266,01858,春立医疗,19.7,0.0,0.0,19.7,19.7,19.7,19.7,0,0.0
266,267,01839,中集车辆,6.94,0.0,0.0,6.94,6.94,6.94,6.94,0,0.0
267,268,01821,ESR,12.14,0.0,0.0,12.14,12.14,12.14,12.14,0,0.0
268,269,01813,合景泰富集团,1.55,0.0,0.0,1.55,1.55,1.55,1.55,0,0.0
269,270,01812,晨鸣纸业,2.47,0.0,0.0,2.47,2.47,2.47,2.47,0,0.0
270,271,01811,中广核新能源,2.68,0.0,0.0,2.68,2.68,2.68,2.68,0,0.0
271,272,01788,国泰君安国际,0.67,0.0,0.0,0.67,0.67,0.67,0.67,0,0.0
272,273,01776,广发证券,10.74,0.0,0.0,10.74,10.74,10.74,10.74,0,0.0
273,274,01755,新城悦服务,5.85,0.0,0.0,5.85,5.85,5.85,5.85,0,0.0
274,275,01691,JS环球生活,7.98,0.0,0.0,7.98,7.98,7.98,7.98,0,0.0
275,276,01686,新意网集团,4.38,0.0,0.0,4.38,4.38,4.38,4.38,0,0.0
276,277,01675,亚信科技,15.1,0.0,0.0,15.1,15.1,15.1,15.1,0,0.0
277,278,01635,大众公用,1.22,0.0,0.0,1.22,1.22,1.22,1.22,0,0.0
278,279,01610,中粮家佳康,2.16,0.0,0.0,2.16,2.16,2.16,2.16,0,0.0
279,280,01600,天伦燃气,5.17,0.0,0.0,5.17,5.17,5.17,5.17,0,0.0
280,281,01585,雅迪控股,17.36,0.0,0.0,17.36,17.36,17.36,17.36,0,0.0
281,282,01548,金斯瑞生物科技,19.48,0.0,0.0,19.48,19.48,19.48,19.48,0,0.0
282,283,01528,红星美凯龙,3.6,0.0,0.0,3.6,3.6,3.6,3.6,0,0.0
283,284,01521,方达控股,2.26,0.0,0.0,2.26,2.26,2.26,2.26,0,0.0
284,285,01513,丽珠医药,25.7,0.0,0.0,25.7,25.7,25.7,25.7,0,0.0
285,286,01478,丘钛科技,4.53,0.0,0.0,4.53,4.53,4.53,4.53,0,0.0
286,287,01477,欧康维视生物-B,9.03,0.0,0.0,9.03,9.03,9.03,9.03,0,0.0
287,288,01475,日清食品,6.63,0.0,0.0,6.63,6.63,6.63,6.63,0,0.0
288,289,01458,周黑鸭,3.8,0.0,0.0,3.8,3.8,3.8,3.8,0,0.0
