,序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
199,200,03808,中国重汽,12.44,0.0,0.0,12.44,12.44,12.44,12.44,0,0.0
200,201,03800,协鑫科技,1.95,0.0,0.0,1.95,1.95,1.95,1.95,0,0.0
201,202,03799,达利食品,3.27,0.0,0.0,3.27,3.27,3.27,3.27,362,1165.0
202,203,03738,阜博集团,3.98,0.0,0.0,3.98,3.98,3.98,3.98,0,0.0
203,204,03709,赢家时尚,10.24,0.0,0.0,10.24,10.24,10.24,10.24,0,0.0
204,205,03692,翰森制药,14.5,0.0,0.0,14.5,14.5,14.5,14.5,0,0.0
205,206,03678,弘业期货,1.9,0.0,0.0,1.9,1.9,1.9,1.9,0,0.0
206,207,03669,永达汽车,5.34,0.0,0.0,5.34,5.34,5.34,5.34,0,0.0
207,208,03668,兖煤澳大利亚,29.2,0.0,0.0,29.2,29.2,29.2,29.2,0,0.0
208,209,03633,中裕能源,5.47,0.0,0.0,5.47,5.47,5.47,5.47,0,0.0
209,210,03618,重庆农村商业银行,2.77,0.0,0.0,2.77,2.77,2.77,2.77,1417889,3927508.0
210,211,03613,同仁堂国药,13.0,0.0,0.0,13.0,13.0,13.0,13.0,0,0.0
211,212,03396,联想控股,8.35,0.0,0.0,8.35,8.35,8.35,8.35,0,0.0
212,213,03380,龙光集团,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0
213,214,03377,远洋集团,0.98,0.0,0.0,0.98,0.98,0.98,0.98,0,0.0
214,215,03369,秦港股份,1.18,0.0,0.0,1.18,1.18,1.18,1.18,0,0.0
215,216,03347,泰格医药,77.55,0.0,0.0,77.55,77.55,77.55,77.55,0,0.0
216,217,03339,中国龙工,1.37,0.0,0.0,1.37,1.37,1.37,1.37,0,0.0
217,218,03319,雅生活服务,7.94,0.0,0.0,7.94,7.94,7.94,7.94,0,0.0
218,219,03311,中国建筑国际,9.72,0.0,0.0,9.72,9.72,9.72,9.72,0,0.0
219,220,03309,希玛眼科,4.58,0.0,0.0,4.58,4.58,4.58,4.58,0,0.0
220,221,02880,辽港股份,0.77,0.0,0.0,0.77,0.77,0.77,0.77,0,0.0
221,222,02869,绿城服务,5.04,0.0,0.0,5.04,5.04,5.04,5.04,0,0.0
222,223,02866,中远海发,1.08,0.0,0.0,1.08,1.08,1.08,1.08,0,0.0
223,224,02858,易鑫集团,1.04,0.0,0.0,1.04,1.04,1.04,1.04,0,0.0
224,225,02777,富力地产,1.91,0.0,0.0,1.91,1.91,1.91,1.91,0,0.0
225,226,02772,中梁控股,0.64,0.0,0.0,0.64,0.64,0.64,0.64,0,0.0
226,227,02768,佳源国际控股,0.183,0.0,0.0,0.183,0.183,0.183,0.183,0,0.0
227,228,02727,上海电气,1.94,0.0,0.0,1.94,1.94,1.94,1.94,0,0.0
228,229,02689,玖龙纸业,5.85,0.0,0.0,5.85,5.85,5.85,5.85,0,0.0
229,230,02688,新奥能源,107.5,0.0,0.0,107.5,107.5,107.5,107.5,42400,4558000.0
230,231,02678,天虹国际集团,6.2,0.0,0.0,6.2,6.2,6.2,6.2,0,0.0
231,232,02669,中海物业,8.93,0.0,0.0,8.93,8.93,8.93,8.93,0,0.0
232,233,02666,环球医疗,4.8,0.0,0.0,4.8,4.8,4.8,4.8,0,0.0
233,234,02618,京东物流,13.44,0.0,0.0,13.44,13.44,13.44,13.44,0,0.0
234,235,02616,基石药业-B,3.88,0.0,0.0,3.88,3.88,3.88,3.88,0,0.0
235,236,02611,国泰君安,9.5,0.0,0.0,9.5,9.5,9.5,9.5,0,0.0
236,237,02588,中银航空租赁,59.65,0.0,0.0,59.65,59.65,59.65,59.65,0,0.0
237,238,02500,启明医疗-B,11.58,0.0,0.0,11.58,11.58,11.58,11.58,0,0.0
238,239,02407,高视医疗,0.0,0.0,0.0,0.0,0.0,0.0,49.2,0,0.0
239,240,02402,亿华通,59.45,0.0,0.0,59.45,59.45,59.45,59.45,0,0.0
240,241,02400,心动公司,24.15,0.0,0.0,24.15,24.15,24.15,24.15,0,0.0
241,242,02382,舜宇光学科技,90.0,0.0,0.0,90.0,90.0,90.0,90.0,15300,1377000.0
242,243,02380,中国电力,3.22,0.0,0.0,3.22,3.22,3.22,3.22,0,0.0
243,244,02378,保诚,101.4,0.0,0.0,101.4,101.4,101.4,101.4,0,0.0
244,245,02367,巨子生物,58.15,0.0,0.0,58.15,58.15,58.15,58.15,0,0.0
245,246,02362,金川国际,0.61,0.0,0.0,0.61,0.61,0.61,0.61,0,0.0
246,247,02357,中航科工,4.22,0.0,0.0,4.22,4.22,4.22,4.22,0,0.0
247,248,02356,大新银行集团,6.18,0.0,0.0,6.18,6.18,6.18,6.18,0,0.0
248,249,02338,潍柴动力,11.82,0.0,0.0,11.82,11.82,11.82,11.82,0,0.0
249,250,02314,理文造纸,3.26,0.0,0.0,3.26,3.26,3.26,3.26,0,0.0
250,251,02291,心泰医疗,30.4,0.0,0.0,30.4,30.4,30.4,30.4,0,0.0
251,252,02285,泉峰控股,0.0,0.0,0.0,0.0,0.0,0.0,36.15,0,0.0
252,253,02282,美高梅中国,9.3,0.0,0.0,9.3,9.3,9.3,9.3,0,0.0
253,254,02279,雍禾医疗,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0,0.0
254,255,02273,固生堂,54.9,0.0,0.0,54.9,54.9,54.9,54.9,0,0.0
255,256,02257,圣诺医药-B,55.5,0.0,0.0,55.5,55.5,55.5,55.5,0,0.0
256,257,02255,海昌海洋公园,1.69,0.0,0.0,1.69,1.69,1.69,1.69,0,0.0
257,258,02252,微创机器人-B,26.5,0.0,0.0,26.5,26.5,26.5,26.5,0,0.0
258,259,02233,西部水泥,0.99,0.0,0.0,0.99,0.99,0.99,0.99,21992000,21772080.0
259,260,02218,安德利果汁,6.42,0.0,0.0,6.42,6.42,6.42,6.42,0,0.0
260,261,02208,金风科技,6.79,0.0,0.0,6.79,6.79,6.79,6.79,0,0.0
261,262,02202,万科企业,12.84,0.0,0.0,12.84,12.84,12.84,12.84,0,0.0
262,263,02197,三叶草生物-B,2.02,0.0,0.0,2.02,2.02,2.02,2.02,0,0.0
263,264,02192,医脉通,11.46,0.0,0.0,11.46,11.46,11.46,11.46,0,0.0
264,265,02186,绿叶制药,3.51,0.0,0.0,3.51,3.51,3.51,3.51,0,0.0
265,266,02172,微创脑科学,15.3,0.0,0.0,15.3,15.3,15.3,15.3,0,0.0
266,267,02171,科济药业-B,14.5,0.0,0.0,14.5,14.5,14.5,14.5,0,0.0
267,268,02162,康诺亚-B,64.6,0.0,0.0,64.6,64.6,64.6,64.6,0,0.0
268,269,02160,心通医疗-B,2.62,0.0,0.0,2.62,2.62,2.62,2.62,0,0.0
269,270,02158,医渡科技,7.4,0.0,0.0,7.4,7.4,7.4,7.4,0,0.0
270,271,02157,乐普生物-B,5.44,0.0,0.0,5.44,5.44,5.44,5.44,0,0.0
271,272,02150,奈雪的茶,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0,0.0
272,273,02145,上美股份,27.15,0.0,0.0,27.15,27.15,27.15,27.15,0,0.0
273,274,02138,医思健康,7.01,0.0,0.0,7.01,7.01,7.01,7.01,0,0.0
274,275,02137,腾盛博药-B,5.42,0.0,0.0,5.42,5.42,5.42,5.42,0,0.0
275,276,02099,中国黄金国际,25.9,0.0,0.0,25.9,25.9,25.9,25.9,0,0.0
276,277,02096,先声药业,9.14,0.0,0.0,9.14,9.14,9.14,9.14,0,0.0
277,278,02068,中铝国际,1.9,0.0,0.0,1.9,1.9,1.9,1.9,0,0.0
278,279,02039,中集集团,5.56,0.0,0.0,5.56,5.56,5.56,5.56,0,0.0
279,280,02038,富智康集团,0.83,0.0,0.0,0.83,0.83,0.83,0.83,991,822.0
280,281,02016,浙商银行,2.71,0.0,0.0,2.71,2.71,2.71,2.71,0,0.0
281,282,02009,金隅集团,1.11,0.0,0.0,1.11,1.11,1.11,1.11,8727000,9686970.0
282,283,02005,石四药集团,4.12,0.0,0.0,4.12,4.12,4.12,4.12,0,0.0
283,284,01996,弘阳地产,0.37,0.0,0.0,0.37,0.37,0.37,0.37,0,0.0
284,285,01995,旭辉永升服务,3.02,0.0,0.0,3.02,3.02,3.02,3.02,0,0.0
285,286,01992,复星旅游文化,9.76,0.0,0.0,9.76,9.76,9.76,9.76,0,0.0
286,287,01966,中骏集团控股,0.86,0.0,0.0,0.86,0.86,0.86,0.86,0,0.0
287,288,01963,重庆银行,4.18,0.0,0.0,4.18,4.18,4.18,4.18,0,0.0
288,289,01958,北京汽车,2.1,0.0,0.0,2.1,2.1,2.1,2.1,0,0.0
289,290,01952,云顶新耀-B,18.84,0.0,0.0,18.84,18.84,18.84,18.84,0,0.0
290,291,01951,锦欣生殖,5.33,0.0,0.0,5.33,5.33,5.33,5.33,0,0.0
291,292,01911,华兴资本控股,7.06,0.0,0.0,7.06,7.06,7.06,7.06,0,0.0
292,293,01908,建发国际集团,25.55,0.0,0.0,25.55,25.55,25.55,25.55,2000,51100.0
293,294,01907,中国旭阳集团,3.65,0.0,0.0,3.65,3.65,3.65,3.65,0,0.0
294,295,01898,中煤能源,6.27,0.0,0.0,6.27,6.27,6.27,6.27,0,0.0
295,296,01896,猫眼娱乐,8.99,0.0,0.0,8.99,8.99,8.99,8.99,0,0.0
296,297,01890,中国科培,2.73,0.0,0.0,2.73,2.73,2.73,2.73,0,0.0
297,298,01883,中信国际电讯,3.04,0.0,0.0,3.04,3.04,3.04,3.04,0,0.0
298,299,01877,君实生物,29.0,0.0,0.0,29.0,29.0,29.0,29.0,0,0.0
299,300,01876,百威亚太,23.55,0.0,0.0,23.55,23.55,23.55,23.55,0,0.0
300,301,01873,维亚生物,1.57,0.0,0.0,1.57,1.57,1.57,1.57,0,0.0
301,302,01860,汇量科技,3.92,0.0,0.0,3.92,3.92,3.92,3.92,0,0.0
302,303,01858,春立医疗,19.3,0.0,0.0,19.3,19.3,19.3,19.3,0,0.0
303,304,01839,中集车辆,6.35,0.0,0.0,6.35,6.35,6.35,6.35,0,0.0
304,305,01813,合景泰富集团,1.54,0.0,0.0,1.54,1.54,1.54,1.54,68538,105548.0
305,306,01812,晨鸣纸业,2.5,0.0,0.0,2.5,2.5,2.5,2.5,0,0.0
306,307,01811,中广核新能源,2.64,0.0,0.0,2.64,2.64,2.64,2.64,0,0.0
307,308,01801,信达生物,41.7,0.0,0.0,41.7,41.7,41.7,41.7,0,0.0
308,309,01799,新特能源,19.84,0.0,0.0,19.84,19.84,19.84,19.84,0,0.0
309,310,01798,大唐新能源,2.74,0.0,0.0,2.74,2.74,2.74,2.74,0,0.0
310,311,01789,爱康医疗,9.1,0.0,0.0,9.1,9.1,9.1,9.1,0,0.0
311,312,01788,国泰君安国际,0.66,0.0,0.0,0.66,0.66,0.66,0.66,0,0.0
312,313,01776,广发证券,11.1,0.0,0.0,11.1,11.1,11.1,11.1,0,0.0
313,314,01765,希望教育,0.61,0.0,0.0,0.61,0.61,0.61,0.61,0,0.0
314,315,01755,新城悦服务,5.92,0.0,0.0,5.92,5.92,5.92,5.92,0,0.0
315,316,01691,JS环球生活,7.86,0.0,0.0,7.86,7.86,7.86,7.86,0,0.0
316,317,01686,新意网集团,4.45,0.0,0.0,4.45,4.45,4.45,4.45,0,0.0
317,318,01675,亚信科技,15.16,0.0,0.0,15.16,15.16,15.16,15.16,0,0.0
318,319,01668,华南城,0.54,0.0,0.0,0.54,0.54,0.54,0.54,0,0.0
319,320,01635,大众公用,1.23,0.0,0.0,1.23,1.23,1.23,1.23,0,0.0
320,321,01622,力高集团,1.4,0.0,0.0,1.4,1.4,1.4,1.4,0,0.0
321,322,01618,中国中冶,2.19,0.0,0.0,2.19,2.19,2.19,2.19,0,0.0
322,323,01610,中粮家佳康,2.23,0.0,0.0,2.23,2.23,2.23,2.23,0,0.0
323,324,01600,天伦燃气,5.04,0.0,0.0,5.04,5.04,5.04,5.04,0,0.0
324,325,01521,方达控股,2.3,0.0,0.0,2.3,2.3,2.3,2.3,0,0.0
325,326,01516,融创服务,3.06,0.0,0.0,3.06,3.06,3.06,3.06,0,0.0
