2023-04-29 Saturday 14:40:05 root:INFO:HKGGT, have total 561 stocks.
2023-04-29 Saturday 15:34:24 root:INFO:ggt.py:22：HKGGT, created new csv for 01675, contains 1071 rows.
2023-04-29 Saturday 15:34:25 root:INFO:ggt.py:22：HKGGT, created new csv for 03613, contains 1213 rows.
2023-04-29 Saturday 15:34:26 root:INFO:ggt.py:22：HKGGT, created new csv for 01521, contains 966 rows.
2023-04-29 Saturday 15:34:28 root:INFO:ggt.py:22：HKGGT, created new csv for 00914, contains 4272 rows.
2023-04-29 Saturday 15:34:31 root:INFO:ggt.py:22：HKGGT, created new csv for 02018, contains 4272 rows.
2023-04-29 Saturday 15:34:33 root:INFO:ggt.py:22：HKGGT, created new csv for 02338, contains 4272 rows.
2023-04-29 Saturday 15:34:34 root:INFO:ggt.py:22：HKGGT, created new csv for 01415, contains 1988 rows.
2023-04-29 Saturday 15:34:36 root:INFO:ggt.py:22：HKGGT, created new csv for 00762, contains 4272 rows.
2023-04-29 Saturday 15:34:38 root:INFO:ggt.py:22：HKGGT, created new csv for 00956, contains 3087 rows.
2023-04-29 Saturday 15:34:40 root:INFO:ggt.py:22：HKGGT, created new csv for 02382, contains 3907 rows.
2023-04-29 Saturday 15:34:42 root:INFO:ggt.py:22：HKGGT, created new csv for 01177, contains 4272 rows.
2023-04-29 Saturday 15:34:43 root:INFO:ggt.py:22：HKGGT, created new csv for 02291, contains 114 rows.
2023-04-29 Saturday 15:34:45 root:INFO:ggt.py:22：HKGGT, created new csv for 02202, contains 2178 rows.
2023-04-29 Saturday 15:34:46 root:INFO:ggt.py:22：HKGGT, created new csv for 00142, contains 4272 rows.
2023-04-29 Saturday 15:34:48 root:INFO:ggt.py:22：HKGGT, created new csv for 03311, contains 4272 rows.
2023-04-29 Saturday 15:34:50 root:INFO:ggt.py:22：HKGGT, created new csv for 00588, contains 4272 rows.
2023-04-29 Saturday 15:34:52 root:INFO:ggt.py:22：HKGGT, created new csv for 01876, contains 881 rows.
2023-04-29 Saturday 15:34:54 root:INFO:ggt.py:22：HKGGT, created new csv for 06030, contains 2844 rows.
2023-04-29 Saturday 15:34:55 root:INFO:ggt.py:22：HKGGT, created new csv for 03709, contains 2176 rows.
2023-04-29 Saturday 15:34:56 root:INFO:ggt.py:22：HKGGT, created new csv for 06955, contains 78 rows.
2023-04-29 Saturday 15:34:58 root:INFO:ggt.py:22：HKGGT, created new csv for 01928, contains 3302 rows.
2023-04-29 Saturday 15:34:59 root:INFO:ggt.py:22：HKGGT, created new csv for 06606, contains 539 rows.
2023-04-29 Saturday 15:35:01 root:INFO:ggt.py:22：HKGGT, created new csv for 00489, contains 4272 rows.
2023-04-29 Saturday 15:35:02 root:INFO:ggt.py:22：HKGGT, created new csv for 01776, contains 1983 rows.
2023-04-29 Saturday 15:35:04 root:INFO:ggt.py:22：HKGGT, created new csv for 01330, contains 2182 rows.
2023-04-29 Saturday 15:35:05 root:INFO:ggt.py:22：HKGGT, created new csv for 01513, contains 2284 rows.
2023-04-29 Saturday 15:35:07 root:INFO:ggt.py:22：HKGGT, created new csv for 00272, contains 4077 rows.
2023-04-29 Saturday 15:35:10 root:INFO:ggt.py:22：HKGGT, created new csv for 00881, contains 3222 rows.
2023-04-29 Saturday 15:35:12 root:INFO:ggt.py:22：HKGGT, created new csv for 02869, contains 1675 rows.
2023-04-29 Saturday 15:35:13 root:INFO:ggt.py:22：HKGGT, created new csv for 00873, contains 614 rows.
2023-04-29 Saturday 15:35:14 root:INFO:ggt.py:22：HKGGT, created new csv for 01755, contains 1102 rows.
2023-04-29 Saturday 15:35:16 root:INFO:ggt.py:22：HKGGT, created new csv for 00520, contains 2057 rows.
2023-04-29 Saturday 15:35:18 root:INFO:ggt.py:22：HKGGT, created new csv for 00316, contains 4272 rows.
2023-04-29 Saturday 15:35:20 root:INFO:ggt.py:22：HKGGT, created new csv for 00558, contains 4069 rows.
2023-04-29 Saturday 15:35:22 root:INFO:ggt.py:22：HKGGT, created new csv for 00006, contains 4272 rows.
2023-04-29 Saturday 15:35:24 root:INFO:ggt.py:22：HKGGT, created new csv for 09666, contains 602 rows.
2023-04-29 Saturday 15:35:27 root:INFO:ggt.py:22：HKGGT, created new csv for 01992, contains 1074 rows.
2023-04-29 Saturday 15:35:29 root:INFO:ggt.py:22：HKGGT, created new csv for 02883, contains 4272 rows.
2023-04-29 Saturday 15:35:30 root:INFO:ggt.py:22：HKGGT, created new csv for 01813, contains 3897 rows.
2023-04-29 Saturday 15:35:32 root:INFO:ggt.py:22：HKGGT, created new csv for 06821, contains 338 rows.
