,date,value
344,2019-11-07,50.97
345,2019-11-08,50.32
346,2019-11-11,49.03
347,2019-11-12,50.23
348,2019-11-13,49.77
349,2019-11-14,50.74
350,2019-11-15,49.71
351,2019-11-18,51.58
352,2019-11-19,51.68
353,2019-11-20,51.4
354,2019-11-21,50.93
355,2019-11-22,50.36
356,2019-11-25,51.3
357,2019-11-26,51.77
358,2019-11-27,49.61
359,2019-11-28,49.61
360,2019-11-29,47.54
361,2019-12-02,48.95
362,2019-12-03,49.71
363,2019-12-04,48.39
364,2019-12-05,49.42
365,2019-12-06,48.48
366,2019-12-09,48.77
367,2019-12-10,47.64
368,2019-12-11,48.95
369,2019-12-12,48.39
370,2019-12-13,48.67
371,2019-12-16,49.42
372,2019-12-17,50.18
373,2019-12-18,49.14
374,2019-12-19,48.39
375,2019-12-20,48.77
376,2019-12-23,49.05
377,2019-12-24,48.86
378,2019-12-27,48.01
379,2019-12-30,49.8
380,2019-12-31,49.33
381,2020-01-02,49.05
382,2020-01-03,48.95
383,2020-01-06,47.54
384,2020-01-07,48.67
385,2020-01-08,49.14
386,2020-01-09,51.49
387,2020-01-10,53.18
388,2020-01-13,53.75
389,2020-01-14,54.03
390,2020-01-15,54.31
391,2020-01-16,55.63
392,2020-01-17,54.78
393,2020-01-20,54.4
394,2020-01-21,52.43
395,2020-01-22,52.9
396,2020-01-23,51.21
397,2020-01-24,51.96
398,2020-01-29,50.36
399,2020-01-30,48.39
400,2020-01-31,47.73
401,2020-02-03,49.71
402,2020-02-04,51.87
403,2020-02-05,53.65
404,2020-02-06,54.31
405,2020-02-07,54.78
406,2020-02-10,55.44
407,2020-02-11,57.41
408,2020-02-12,57.5
409,2020-02-13,58.44
410,2020-02-14,58.82
411,2020-02-17,59.67
412,2020-02-18,59.57
413,2020-02-19,59.95
414,2020-02-20,59.76
415,2020-02-21,60.14
416,2020-02-24,58.16
417,2020-02-25,58.07
418,2020-02-26,57.32
419,2020-02-27,59.38
