代码,序号,名称,最新价,成交量,成交额,市盈率(TTM),市净率
01876,148,百威亚太,23.55,6160815,144885882.0,38.8,3.79
02328,149,中国财险,7.26,17269636,125362495.0,5.55,0.67
00909,150,明源云,6.08,13116114,81206619.0,-9.51,1.86
06699,151,时代天使,122.0,290800,35837675.0,66.77,5.26
00347,152,鞍钢股份,2.44,4653516,11344653.0,-49.51,0.36
00095,153,绿景中国地产,1.22,6486000,8036760.0,4.64,0.2
02618,154,京东物流,15.04,9646599,146599678.0,-77.35,1.88
01072,155,东方电气,12.98,1850400,24278702.0,12.53,1.06
02331,156,李宁,71.55,7485343,539239024.0,38.06,7.28
06881,157,中国银河,3.94,25764407,101681623.0,3.81,0.41
01810,158,小米集团-W,13.14,74662669,990504304.0,164.01,2.1
03898,159,时代电气,39.45,1405887,55814533.0,21.25,1.5
02356,160,大新银行集团,6.64,1652400,10957776.0,5.67,0.31
02688,161,新奥能源,121.0,2392159,288346032.0,16.5,3.16
02628,162,中国人寿,13.66,16859000,231034823.0,10.41,0.77
01381,163,粤丰环保,4.1,1060000,4350600.0,6.76,1.09
00425,164,敏实集团,20.8,1694237,35551719.0,16.49,1.29
00921,165,海信家电,11.42,916001,10466106.0,9.87,1.26
00570,166,中国中药,4.3,29754212,128850205.0,13.07,0.93
00552,167,中国通信服务,2.87,9030891,26122273.0,5.24,0.43
01109,168,华润置地,36.2,11794236,430297632.0,7.39,0.97
09668,169,渤海银行,1.45,2284500,3320080.0,2.86,0.25
01811,170,中广核新能源,2.92,8086000,23873533.0,9.01,1.16
00175,171,吉利汽车,11.7,40692703,481303632.0,25.04,1.49
03339,172,中国龙工,1.55,4739000,7450170.0,11.85,0.6
00293,173,国泰航空,7.75,7609246,59336503.0,-14.0,0.73
06806,174,申万宏源,1.56,4794400,7496232.0,5.64,0.36
00581,175,中国东方集团,1.56,917374,1424511.0,2.34,0.21
00316,176,东方海外国际,125.1,792992,99653110.0,1.05,0.8
00308,177,香港中旅,1.6,4214000,6762540.0,-76.17,0.53
00341,178,大家乐集团,12.82,636000,8168440.0,154.04,2.71
00066,179,港铁公司,40.35,2934542,117962159.0,21.55,1.41
00322,180,康师傅控股,13.04,3795289,49346664.0,20.8,4.08
01186,181,中国铁建,4.9,10019000,49495180.0,2.35,0.27
01818,182,招金矿业,8.23,8309000,69033325.0,92.18,2.05
02313,183,申洲国际,91.75,4389422,405768256.0,33.58,3.96
00754,184,合生创展集团,8.37,1368644,11513007.0,2.29,0.25
06837,185,海通证券,5.22,12126727,63532253.0,8.72,0.38
09633,186,农夫山泉,43.8,2354186,102861280.0,54.31,20.89
03633,187,中裕能源,5.4,3273000,17716130.0,20.14,1.72
00388,188,香港交易所,334.6,4326675,1461672512.0,43.41,9.03
00004,189,九龙仓集团,18.74,1398512,26397339.0,11.37,0.36
03678,190,弘业期货,1.9,10902000,21091650.0,30.4,0.92
02018,191,瑞声科技,19.0,4960639,95188437.0,25.88,0.89
00371,192,北控水务集团,1.97,7458042,14753143.0,8.02,0.55
01800,193,中国交通建设,4.0,8925555,35928624.0,3.05,0.25
00586,194,海螺创业,16.0,2006946,32225501.0,1.34,0.57
01113,195,长实集团,50.55,1703505,86345815.0,7.04,0.48
00857,196,中国石油股份,4.12,62001031,255887033.0,4.97,0.51
01458,197,周黑鸭,4.17,7392000,30990620.0,64.75,2.11
06030,198,中信证券,17.02,5366773,91730650.0,10.67,0.89
01052,199,越秀交通基建,4.48,1204842,5432764.0,4.96,0.57
02607,200,上海医药,13.7,1104272,15180370.0,8.45,0.69
01675,201,亚信科技,13.94,406399,5694286.0,15.89,1.82
02005,202,石四药集团,4.74,1638747,7725028.0,12.63,2.27
02196,203,复星医药,24.0,3695421,88749919.0,16.0,1.33
00598,204,中国外运,2.51,4114000,10405908.0,3.96,0.48
01339,205,中国人民保险集团,2.56,20168120,51950760.0,4.23,0.46
02388,206,中银香港,26.2,6848774,179546981.0,10.97,0.94
00019,207,太古股份公司A,65.65,850596,55856737.0,15.78,0.36
01055,208,中国南方航空股份,5.4,10912887,59863365.0,-3.75,1.72
02138,209,医思健康,8.2,1409000,11592475.0,82.83,4.99
03969,210,中国通号,2.76,5424000,15048190.0,7.63,0.64
00270,211,粤海投资,8.43,4263596,35897506.0,11.81,1.29
01898,212,中煤能源,5.95,9351026,55895592.0,3.23,0.54
03968,213,招商银行,44.7,13361103,601604160.0,7.3,1.06
00354,214,中国软件国际,6.04,21876609,133880383.0,13.13,1.3
06886,215,华泰证券,9.15,3712501,34081609.0,7.42,0.53
06069,216,盛业,6.16,1564500,9661065.0,12.68,1.37
02669,217,中海物业,9.78,2332203,23058700.0,28.9,10.11
01066,218,威高股份,13.32,3152998,42221608.0,20.87,2.53
01070,219,TCL电子,3.51,1651333,5810694.0,22.39,0.51
00998,220,中信银行,3.71,27856779,103461385.0,2.61,0.24
06066,221,中信建投证券,7.71,4106500,31936789.0,5.74,0.8
01882,222,海天国际,21.3,987000,21065750.0,11.01,1.83
01313,223,华润水泥控股,4.35,4904170,21454739.0,7.08,0.63
01093,224,石药集团,8.75,32410441,285108720.0,16.46,3.18
09992,225,泡泡玛特,22.55,7684284,175725363.0,32.14,3.74
00001,226,长和,47.9,3573749,171854032.0,5.35,0.36
06993,227,蓝月亮集团,4.92,1147500,5714905.0,31.71,2.57
01336,228,新华保险,19.86,3422465,68354524.0,6.85,0.56
01839,229,中集车辆,5.08,35000,177000.0,11.96,0.76
00392,230,北京控股,26.45,901104,23906321.0,3.86,0.35
00883,231,中国海洋石油,11.38,40375197,460984176.0,3.88,0.86
00694,232,北京首都机场股份,5.91,6366585,37697493.0,-8.64,1.24
00148,233,建滔集团,30.8,768370,23769897.0,4.2,0.56
00165,234,中国光大控股,6.21,1584000,9903020.0,-5.62,0.25
00551,235,裕元集团,12.5,427067,5372279.0,8.99,0.62
00636,236,嘉里物流,14.06,471082,6689017.0,3.66,1.39
03323,237,中国建材,7.07,15034761,107036898.0,5.6,0.52
02319,238,蒙牛乳业,37.05,5812190,216984734.0,21.49,3.22
00659,239,新创建集团,7.42,1022189,7598445.0,18.29,0.67
01952,240,云顶新耀-B,18.22,6237500,117128147.0,-3.76,0.98
09858,241,优然牧业,2.0,2809000,5673140.0,7.71,0.49
09688,242,再鼎医药,29.2,705206,20866000.0,-6.14,3.29
06988,243,乐享集团,1.3,19537000,25451120.0,14.5,1.07
06968,244,港龙中国地产,0.67,12664000,8552800.0,1.84,0.23
06878,245,鼎丰集团汽车,0.211,554560000,118949728.0,2.75,0.47
06680,246,金力永磁,26.55,454400,11905085.0,25.52,2.99
06196,247,郑州银行,1.14,10845000,12440450.0,2.58,0.2
06169,248,宇华教育,0.0,0,0.0,6.24,0.62
06158,249,正荣地产,0.34,22939000,7910645.0,-0.43,0.08
03998,250,波司登,4.36,15757278,69553545.0,19.92,3.73
03996,251,中国能源建设,0.94,30252000,28872660.0,4.84,0.4
03988,252,中国银行,2.93,152423999,446622592.0,3.45,0.39
03908,253,中金公司,17.06,10165206,174448372.0,7.98,0.91
03877,254,中国船舶租赁,1.26,1208000,1514020.0,4.9,0.71
03868,255,信义能源,2.81,3980000,11240060.0,16.93,1.69
03618,256,重庆农村商业银行,2.75,4878549,13458148.0,2.81,0.26
03606,257,福耀玻璃,36.7,1317614,48582319.0,19.46,3.04
03383,258,雅居乐集团,2.25,14242058,32461977.0,2.37,0.16
03328,259,交通银行,4.8,8560376,41118840.0,3.54,0.39
02880,260,辽港股份,0.73,6248600,4500334.0,11.15,0.41
02866,261,中远海发,1.06,5703031,6078574.0,3.09,0.45
02772,262,中梁控股,0.66,8209000,5487690.0,1.15,0.16
02160,263,心通医疗-B,2.84,5030000,14611880.0,-24.85,1.95
02096,264,先声药业,10.08,8484000,85955426.0,22.64,3.74
02016,265,浙商银行,2.76,696000,1919210.0,3.9,0.39
02009,266,金隅集团,1.06,8907000,9398475.0,4.02,0.21
01996,267,弘阳地产,0.43,6074000,2635855.0,-6.66,0.08
01873,268,维亚生物,1.68,6918500,11812552.0,24.97,0.71
01788,269,国泰君安国际,0.72,4087000,2978740.0,21.61,0.45
01658,270,邮储银行,4.93,38333538,189015588.0,4.82,0.61
01635,271,大众公用,1.23,263000,322660.0,-49.42,0.39
01398,272,工商银行,3.98,240713771,962971536.0,3.54,0.42
01288,273,农业银行,2.77,85930709,237996972.0,3.48,0.4
01119,274,创梦天地,3.97,5720400,23037752.0,-16.67,1.22
01060,275,阿里影业,0.53,140990000,75950750.0,64.41,0.9
01057,276,浙江世宝,1.64,3754000,6256020.0,-603.3,0.85
00788,277,中国铁塔,0.87,164614189,144071531.0,16.35,0.69
00775,278,长江生命科技,0.78,5685513,4452209.0,58.78,1.74
00743,279,亚洲水泥(中国),3.7,551601,2043661.0,6.81,0.31
00588,280,北京北辰实业股份,0.92,446000,411700.0,-3.1,0.21
00460,281,四环医药,0.97,25111792,24707698.0,-50.08,1.07
00336,282,华宝国际,3.96,2385000,9484270.0,-91.51,0.81
00272,283,瑞安房地产,1.02,4741583,4871751.0,6.97,0.18
00267,284,中信股份,8.94,5902918,52934196.0,3.42,0.35
00256,285,冠城钟表珠宝,1.35,2217999,2986738.0,-46.77,1.42
00215,286,和记电讯香港,1.3,2672000,3475420.0,-50.93,0.6
00173,287,嘉华国际,2.9,241276,704777.0,2.48,0.2
00136,288,中国儒意,1.87,32433375,61644147.0,4.24,2.68
00059,289,天誉置业,0.054,163198000,8962250.0,-0.19,0.15
00777,290,网龙,17.66,328000,5866523.0,6.83,1.16
01308,291,海丰国际,16.8,6751093,113944036.0,3.11,2.6
00177,292,江苏宁沪高速公路,7.49,1062123,7960922.0,9.91,1.09
01928,293,金沙中国有限公司,29.05,8529933,250222105.0,-20.99,230.45
01776,294,广发证券,11.5,3818977,44312564.0,10.64,0.74
00811,295,新华文轩,5.75,414000,2391300.0,4.68,0.54
06821,296,凯莱英,109.9,128800,14209170.0,11.88,2.44
02099,297,中国黄金国际,26.5,984700,25965412.0,5.72,0.74
02869,298,绿城服务,5.29,2605332,13817219.0,22.83,2.12
00083,299,信和置业,10.3,4233353,43672316.0,14.48,0.53
00939,300,建设银行,4.93,289271504,1429613680.0,3.51,0.42
02611,301,国泰君安,9.43,1447575,13727934.0,6.52,0.48
01088,302,中国神华,23.1,24645331,571241184.0,5.68,1.06
02666,303,环球医疗,4.46,6193398,27861674.0,3.85,0.54
00522,304,ASMPT,66.7,702542,47102174.0,8.42,1.78
00836,305,华润电力,17.24,7588160,130257954.0,253.44,0.96
01860,306,汇量科技,4.19,1442002,6104358.0,22.7,3.55
00011,307,恒生银行,123.7,805090,99657106.0,23.9,1.39
01258,308,中国有色矿业,4.09,4218000,17499195.0,6.19,1.22
02616,309,基石药业-B,3.98,15611000,63208620.0,-2.9,4.6
00861,310,神州控股,3.91,1537000,6069405.0,9.18,0.67
06198,311,青岛港,3.8,758000,2895110.0,5.17,0.61
02001,312,新高教集团,3.59,1184052,4294313.0,7.94,1.55
00855,313,中国水务,7.0,1333800,9345820.0,6.2,0.92
03799,314,达利食品,3.43,2455914,8446312.0,11.75,2.17
00257,315,光大环境,3.31,6633065,22139688.0,3.55,0.4
00081,316,中国海外宏洋集团,3.3,4550000,15140210.0,2.09,0.34
01349,317,复旦张江,3.24,154000,498470.0,22.93,1.36
00291,318,华润啤酒,59.55,8547823,510614176.0,40.32,6.04
01883,319,中信国际电讯,2.89,3284511,9555557.0,9.58,1.07
03866,320,青岛银行,2.88,500500,1447015.0,4.89,0.51
01988,321,民生银行,2.83,9357459,26620686.0,3.43,0.22
01992,322,复星旅游文化,10.62,2087400,22334288.0,-12.48,3.58
01521,323,方达控股,2.61,2478000,6480700.0,23.63,2.11
00590,324,六福集团,25.9,540517,13987473.0,10.89,1.3
00868,325,信义玻璃,15.3,4252303,65871741.0,6.64,1.92
06639,326,瑞尔集团,9.95,918500,9190025.0,-16.3,3.11
06600,327,赛生药业,9.92,3090000,30505248.0,7.07,2.28
03692,328,翰森制药,14.6,2473002,36452654.0,27.18,3.5
00220,329,统一企业中国,7.27,2328898,16957216.0,21.18,2.14
03309,330,希玛眼科,4.78,1706000,8246560.0,263.64,3.28
06978,331,永泰生物-B,7.11,3654000,26281275.0,-9.01,4.57
01211,332,比亚迪股份,235.2,7236003,1712791216.0,62.47,6.04
06818,333,中国光大银行,2.34,13144676,30963496.0,2.55,0.29
03360,334,远东宏信,7.0,3964177,27749991.0,4.47,0.61
00968,335,信义光能,9.17,11169324,103506477.0,21.72,2.71
00489,336,东风集团股份,4.31,8154723,35444312.0,3.81,0.21
01972,337,太古地产,21.1,1034241,21835098.0,13.05,0.43
00386,338,中国石油化工股份,4.16,62986722,263337158.0,6.6,0.58
00902,339,华能国际电力股份,4.12,17691926,72729912.0,-3.74,1.14
02777,340,富力地产,2.02,3162350,6472132.0,-0.24,0.1
02588,341,中银航空租赁,60.2,462670,28099551.0,-1032.52,1.08
00683,342,嘉里建设,19.9,1314118,26181866.0,3.1,0.25
02357,343,中航科工,3.89,16761002,65906065.0,11.04,0.95
09959,344,联易融科技-W,3.86,5825500,22699852.0,89.19,0.76
00966,345,中国太平,9.65,4835063,47179021.0,6.79,0.41
00107,346,四川成渝高速公路,1.88,790000,1495630.0,3.3,0.29
00012,347,恒基地产,27.55,1858021,51454165.0,11.67,0.4
02883,348,中海油田服务,9.14,6742669,61559715.0,42.7,1.01
01816,349,中广核电力,1.81,25643018,46451993.0,8.45,0.78
06178,350,光大证券,5.41,1583000,8707027.0,7.01,0.35
01137,351,香港科技探索,5.28,668000,3575060.0,104.15,2.22
00363,352,上海实业控股,10.54,561000,5937760.0,4.22,0.25
02128,353,中国联塑,8.67,2398668,21090584.0,9.11,1.11
01908,354,建发国际集团,26.0,1589163,41243130.0,9.58,3.41
09979,355,绿城管理控股,6.86,1474500,10155270.0,17.99,3.53
00697,356,首程控股,1.67,2304000,3894380.0,15.81,1.18
01911,357,华兴资本控股,10.0,1062900,10736336.0,20.07,0.73
02246,358,快狗打车,3.26,2008800,6671044.0,-1.04,1.11
06099,359,招商证券,7.98,1419300,11498048.0,6.66,0.64
00826,360,天工国际,2.96,9372000,28511240.0,10.54,1.05
00568,361,山东墨龙,2.92,2487200,7381216.0,-3.99,1.84
00410,362,SOHO中国,1.45,2728500,3979037.0,46.16,0.18
00440,363,大新金融,21.7,127000,2765490.0,5.5,0.24
06055,364,中烟香港,11.46,635000,7321620.0,25.9,4.25
00006,365,电能实业,42.9,1840420,78958339.0,14.06,1.05
00002,366,中电控股,56.7,2420344,137633408.0,-146.32,1.34
00152,367,深圳国际,7.05,5436282,38536423.0,5.29,0.48
00916,368,龙源电力,11.12,13256203,148728335.0,15.04,1.27
01530,369,三生制药,8.3,4539355,37594892.0,10.14,1.44
00525,370,广深铁路股份,1.36,2382000,3253900.0,-5.09,0.33
01121,371,金阳新能源,8.14,566000,4623680.0,-130.37,17.91
02238,372,广汽集团,5.36,15862402,85787858.0,4.94,0.51
01382,373,互太纺织,2.67,3001000,8032133.0,7.95,1.18
09939,374,开拓药业-B,10.46,5990500,63829120.0,-3.87,3.37
00546,375,阜丰集团,5.15,2436000,12572170.0,4.11,0.77
00003,376,香港中华煤气,7.6,11917778,90820232.0,34.32,2.22
00895,377,东江环保,2.53,254600,649550.0,-21.89,0.45
01585,378,雅迪控股,17.7,8584818,152707278.0,27.62,8.39
01907,379,中国旭阳集团,3.72,3885000,14545430.0,5.36,1.13
01044,380,恒安国际,37.15,1525598,56944494.0,13.15,1.88
02186,381,绿叶制药,3.69,29491000,110064075.0,-50.01,1.27
02500,382,启明医疗-B,14.5,1887000,28051490.0,-11.88,1.24
01375,383,中州证券,1.19,1370000,1659350.0,42.07,0.36
03369,384,秦港股份,1.16,2004000,2317120.0,4.95,0.34
01958,385,北京汽车,2.3,3334254,7746626.0,3.79,0.31
01199,386,中远海运港口,5.54,1699261,9489975.0,6.83,0.45
00200,387,新濠国际发展,9.93,2823094,28163975.0,-3.32,3.53
06996,388,德琪医药-B,4.41,2100000,9429289.0,-4.49,1.15
06060,389,众安在线,21.9,4713914,105078543.0,-129.42,1.72
03958,390,东方证券,4.3,4474000,19608744.0,10.82,0.46
01099,391,国药控股,21.5,3822404,82799689.0,7.67,0.93
03899,392,中集安瑞科,8.52,2094200,17937490.0,15.73,1.76
01963,393,重庆银行,4.23,805500,3436460.0,2.75,0.3
00119,394,保利置业集团,1.92,8106000,15799670.0,3.15,0.19
01038,395,长江基建集团,42.85,859480,37039024.0,12.11,0.91
00142,396,第一太平,2.81,3508000,9995660.0,3.85,0.46
00323,397,马鞍山钢铁股份,1.85,4804000,8963260.0,-24.54,0.42
00288,398,万洲国际,4.62,13301899,62099235.0,6.43,0.84
02799,399,中国华融,0.46,42721000,19760675.0,-1.69,0.83
00934,400,中石化冠德,2.74,2016400,5560060.0,9.3,0.45
03301,401,融信中国,0.91,16781500,15520230.0,-0.34,0.1
01717,402,澳优,4.5,1146000,5284920.0,10.44,1.15
01157,403,中联重科,4.48,8501398,38742883.0,12.92,0.65
00548,404,深圳高速公路股份,7.14,1044000,7494360.0,5.23,0.78
00751,405,创维集团,4.44,6938404,31187998.0,7.47,0.59
00179,406,德昌电机控股,9.64,1114750,10863062.0,10.46,0.5
01196,407,伟禄集团,8.7,1932000,16732920.0,99.39,3.24
01053,408,重庆钢铁股份,0.87,1552000,1365120.0,-8.01,0.32
00639,409,首钢资源,2.61,4498000,11837730.0,3.8,0.77
01330,410,绿色动力环保,2.6,682000,1784910.0,5.61,0.47
01310,411,香港宽频,5.13,4436000,22852219.0,12.16,1.37
00990,412,荣晖国际,0.85,9380000,8076000.0,10.77,2.8
02282,413,美高梅中国,10.14,5800800,59526780.0,-8.53,-32.45
00151,414,中国旺旺,5.06,9472473,48018711.0,14.66,3.97
